test,analysis,n_conf,n_spur,p_holm,effect,min_detectable,decisive,direction_ok,defect,label,reason,decisive_by_diff,scenario,control_p,control_vetoed
D3,pooled,675,370,3.8146515031277546e-17,0.3388488488488488,0.5750000000000001,True,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",,d3_effect,0.8010044451269378,False
D1,primary,276,157,1.0,-0.0242545924489984,0.2,False,False,GAP-4,UNDERPOWERED,not significant (Holm p 1.0000) and NOT decisive: smallest detectable 0.200 > effect under test 0.154,True,d4_effect,0.8889096113832426,False
D2,primary,554,304,1.0,0.5091143359300779,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,d4_effect,0.8889096113832426,False
D3,primary,554,304,1.4907734145964172e-09,0.3695373361200836,0.5750000000000001,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",,d4_effect,0.8889096113832426,False
D4,primary,554,304,3.997825502282417e-17,0.2235298308949268,0.15,True,True,,POSITIVE,"Holm p 0.0000, pre-registered direction, DECISIVE",True,d4_effect,0.8889096113832426,False
D1,pooled,292,170,1.0,-0.0121273166800966,0.15,True,False,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,d4_effect,0.802378743330012,False
D2,pooled,596,327,0.7760636161955086,0.522453461404265,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d4_effect,0.802378743330012,False
D3,pooled,596,327,2.326891593293628e-11,0.3620210167682613,0.5750000000000001,True,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",,d4_effect,0.802378743330012,False
D1,primary,323,165,1.0,-0.0013134440379022,0.15,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,d3_reversal,0.1465883700583877,False
D2,primary,633,347,0.8179893630816277,0.4781403226026742,0.5750000000000001,True,False,,NULL,not significant (Holm p 0.8180) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,d3_reversal,0.1465883700583877,False
D3,primary,633,347,1.5432620901640004e-15,0.6576159452950362,0.5750000000000001,True,False,,DIRECTION REVERSAL,Holm p 0.0000 but the effect (0.6576159452950362) is opposite to the pre-registered direction (auc_below_half),,d3_reversal,0.1465883700583877,False
D4,primary,633,347,3.1685190039322257e-10,-0.1797624413273784,0.45,False,False,GAP-4,DIRECTION REVERSAL,Holm p 0.0000 but the effect (-0.1797624413273784) is opposite to the pre-registered direction (spurious_higher),True,d3_reversal,0.1465883700583877,False
D1,pooled,339,178,1.0,0.008418680189586,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,d3_reversal,0.0756073180684342,False
D2,pooled,675,370,1.0,0.4922922922922922,0.5750000000000001,True,False,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d3_reversal,0.0756073180684342,False
D3,pooled,675,370,5.824490416068399e-12,0.6326166166166166,0.5750000000000001,True,False,GAP-3,"DIRECTION REVERSAL (pooled, not interpretable)","significant in the opposite direction, in the pooled secondary; neither section 2.2 nor section 5 covers this combination",,d3_reversal,0.0756073180684342,False
D1,primary,319,169,0.0297906845910747,-0.0578360631411029,0.2,False,False,GAP-4,DIRECTION REVERSAL,Holm p 0.0298 but the effect (-0.0578360631411029) is opposite to the pre-registered direction (spurious_higher),True,d2_reversal,0.5838765489072181,False
D2,primary,633,347,1.3403280411069848e-15,0.3420562619792306,0.5750000000000001,True,False,,DIRECTION REVERSAL,Holm p 0.0000 but the effect (0.3420562619792306) is opposite to the pre-registered direction (auc_above_half),,d2_reversal,0.5838765489072181,False
D3,primary,633,347,1.0,0.507628009888414,0.5750000000000001,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,d2_reversal,0.5838765489072181,False
D4,primary,633,347,0.648199341714436,-0.0146823825067948,0.4,False,False,GAP-4,UNDERPOWERED,not significant (Holm p 0.6482) and NOT decisive: smallest detectable 0.400 > effect under test 0.300,True,d2_reversal,0.5838765489072181,False
D1,pooled,335,182,0.1647566541592617,-0.0446449073314744,0.2,False,False,GAP-4+GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,d2_reversal,0.8697631133797055,False
D2,pooled,675,370,3.223023643928951e-12,0.3656616616616616,0.5750000000000001,True,False,GAP-3,"DIRECTION REVERSAL (pooled, not interpretable)","significant in the opposite direction, in the pooled secondary; neither section 2.2 nor section 5 covers this combination",,d2_reversal,0.8697631133797055,False
D3,pooled,675,370,1.0,0.4921521521521521,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,d2_reversal,0.8697631133797055,False
D1,primary,2,2,,0.0,,False,,,NOT TESTABLE,fewer than 5 rows on a side (2 confirmed / 2 spurious),,thin,,False
D2,primary,5,4,,,,False,,,NOT TESTABLE,zero rows survive the join to the metric's data,,thin,,False
D3,primary,5,4,,,,False,,,NOT TESTABLE,zero rows survive the join to the metric's data,,thin,,False
D4,primary,5,4,0.0079365079365079,1.0,0.8,False,,,NOT TESTABLE,fewer than 5 rows on a side (5 confirmed / 4 spurious),,thin,,False
D1,pooled,18,15,0.5965909090909091,0.1333333333333333,0.35,False,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",False,thin,0.2590628394961581,False
D2,pooled,47,27,0.037963471121678,0.6824271079590228,0.7000000000000002,False,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",,thin,0.2590628394961581,False
D3,pooled,47,27,0.0004862467951137,0.22301024428684,0.7000000000000002,False,True,,"POSITIVE (conservative, pooled)","significant in the pooled secondary: a conservative positive, it survived dilution",,thin,0.2590628394961581,False
D1,primary,309,179,1.0,-3.6159172678129625e-05,0.15,True,False,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.150 <= effect under test 0.154,True,no_coverage,0.9995292695292632,False
D2,primary,633,347,1.0,0.5152264273779769,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.659,,no_coverage,0.9995292695292632,False
D3,primary,633,347,1.0,0.4885249782609685,0.5750000000000001,True,True,,NULL,not significant (Holm p 1.0000) and DECISIVE: smallest detectable 0.575 <= effect under test 0.656,,no_coverage,0.9995292695292632,False
D4,primary,633,347,0.8194959612307722,0.0076257335500407,0.35,False,True,GAP-4,UNDERPOWERED,not significant (Holm p 0.8195) and NOT decisive: smallest detectable 0.350 > effect under test 0.300,True,no_coverage,0.9995292695292632,False
D1,pooled,325,192,1.0,0.0092467948717948,0.15,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",True,no_coverage,0.7131945667040149,False
D2,pooled,675,370,0.7201541442799613,0.5272952952952953,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,no_coverage,0.7131945667040149,False
D3,pooled,675,370,0.8573458241151738,0.4744504504504504,0.5750000000000001,True,True,GAP-2,POOLED: UNINTERPRETABLE (diluted),"section 2.2: pooled non-significance is dilution, never a null.  Section 5 has no label for it.",,no_coverage,0.7131945667040149,False
